term,aliases,definition,related_terms
ACE,"AMC Configuration Environment, ACE software",AMC's modern servo drive configuration and tuning software for FlexPro and newer DigiFlex Performance drives.,DriveWare; workspace; auto-tune; scope
Acceleration Feedforward,"accel feedforward, accel FF",Injects additional torque/force to compensate for delays during high velocity change rates in velocity loops.,feedforward; velocity feedforward; velocity loop; tuning
AC Line Filter,"line filter, mains filter, EMI filter",A filter that connects to incoming AC power to prevent machine-generated electrical noise from contaminating building power.,EMC; compliance; power supply; ferrite
Actuator,"motor actuator, linear actuator",A device such as a motor that outputs mechanical motion using electricity as the power source in servo systems.,motor; direct drive; BLDC; stepper
Add-On Instruction,"AOI, Add-On",Pre-built instruction blocks for Rockwell/Allen-Bradley PLCs that simplify integration with AMC Ethernet/IP servo drives.,EtherNet/IP; ladder logic; PLC
analog input,"AI, reference input, command input",An input that accepts a continuous voltage signal (typically +/-10V) used as a command source for current velocity or position.,digital input; reference; command source; PAI
Attenuate,"attenuation, signal attenuation",A reduction or drop in output signal strength typically caused by long transmission distances.,gain; signal; ferrite; AC Line Filter
auto-tune,"autotune, auto tune",An automated process in ACE or DriveWare that measures motor and load characteristics to set optimal control loop gains.,current loop; velocity loop; position loop; gain set; tuning
auxiliary encoder,"aux encoder, secondary encoder, dual feedback",A secondary encoder input used for dual-loop feedback configurations where a separate sensor measures load position.,encoder; dual loop; feedback
AxCent,"AZB, AZXB, AZ series",AMC's family of compact analog servo drives designed for embedded and vehicle applications with panel or PCB mount options.,FlexPro; DigiFlex; analog drive; vehicle
back EMF,"BEMF, back electromotive force, Ke",The voltage generated by a motor proportional to its speed which opposes the applied voltage.,motor voltage; torque constant; motor speed
Backlash,"mechanical backlash, gear backlash",Play caused by loose connections between mechanical components such as the distance between gear tooth separation when direction reverses.,dual loop; direct drive; encoder following; electronic gearing
Balance Pot,"balance potentiometer, balance adjustment",A potentiometer used to set drive output so it does not have an offset preventing directional bias.,offset potentiometer; pot; analog drive; AxCent
Bandwidth,"system bandwidth, BW, -3dB bandwidth",A measurement of the responsiveness of a system determined by increasing sine wave frequency until output decreases to 0.707 of the input amplitude.,tuning; gain; current loop; velocity loop; position loop
Base Speed,"set speed, rated speed",The highest speed rating of a motor at which it can deliver rated torque.,motor; velocity loop; torque constant
baud rate,"bit rate, communication speed",The data transmission speed of a serial communication link measured in bits per second.,RS232; RS485; node ID; serial communication
BiSS-C,"BiSS, BiSS interface",A bidirectional synchronous serial interface protocol used for absolute encoder feedback in servo drives.,encoder; SSI; EnDat; feedback; absolute encoder
BLDC,"brushless DC motor, brushless DC, permanent magnet AC, PMAC",A three-phase permanent magnet motor requiring electronic commutation from the servo drive.,commutation; hall sensors; encoder; motor phase
boot-up,"boot-up message, NMT boot-up",A CANopen network message sent by a node when it transitions from initialization to the pre-operational state.,NMT; CANopen; state machine
bridge,"power bridge, H-bridge, output stage",The power output stage of the servo drive that switches current to the motor windings using PWM.,enable; disable; PWM; power stage; FET; MOSFET
brushed motor,"DC motor, BDC",A motor with mechanical commutation via brushes and a commutator requiring only two power connections from the drive.,brushless; motor type; analog drive
Bus,"power bus, DC bus, main bus",The main supply circuit that powers major components in a system.,bus voltage; power supply; regen
bus voltage,"DC bus voltage, supply voltage, VDC",The voltage level of the main power supply feeding the drive's power stage.,over-voltage; under-voltage; shunt; regen; bus
Bypass Capacitor,"bypass cap, decoupling capacitor",A capacitor placed near a component input to stabilize voltage; recommended 1000uF within 1 foot of drive if power wires exceed 5 feet.,bus voltage; power supply; capacitor
CAN,"Controller Area Network, CAN bus",A two-wire differential serial communication protocol used as the physical layer for CANopen networks in servo systems.,CANopen; CAN_H; CAN_L; termination resistor; baud rate
CANopen,"CAN open, CiA DS301",An industrial communication protocol based on CAN that defines device profiles and object dictionaries for servo drives per CiA standards.,CAN; PDO; SDO; NMT; object dictionary; COB-ID
capture,"position capture, input capture",A drive feature that records the exact encoder position when triggered by a digital input edge for registration applications.,digital input; encoder; registration
ClickMove,"Click&Move, C&M",AMC's visual programming environment for creating standalone motion applications using function block diagrams on DigiFlex DPM drives.,UDFB; FBD; Eagle; motion task; sequence
Closed Loop,"closed-loop, CL",A control method using feedback corrections where the system measures output and adjusts input to maintain the setpoint.,open loop; feedback; encoder; resolver; current loop
CM,"CANopen Model, -CM suffix",A FlexPro drive model suffix indicating the CANopen communication interface.,EM; IPM; RM; FlexPro; CANopen
COB-ID,"Communication Object Identifier, CAN identifier",An 11-bit identifier in a CAN frame that determines message priority and type in a CANopen network.,CANopen; PDO; SDO; NMT; node ID
Cogging,"cogging torque, torque cogging",Torque ripple centered around specific motor revolution locations where the motor feels easier or harder to turn in certain positions.,torque ripple; detent; sinusoidal commutation; BLDC
commutation,"electronic commutation, motor commutation",The act of maintaining correct torque angle on a motor; brushed motors use internal commutator while brushless use feedback algorithms.,hall sensors; encoder; sinusoidal commutation; trapezoidal commutation; motor phase
compliance,"CE, UL, RoHS, EMC",Regulatory certifications and standards that AMC drives meet for electromagnetic compatibility and safety directives.,CE; EMC; functional safety
Contouring,"contour, multi-axis contouring",The process of creating smooth and rounded movements using coordinated multi-axis control as opposed to point-to-point motion.,interpolate; PVT; electronic gearing; position loop
continuous current,"rated current, cont current",The maximum sustained output current a drive can deliver indefinitely without exceeding thermal limits.,peak current; I2T; thermal; foldback
controlword,"control word, 6040h",A CANopen/EtherCAT object (index 6040h) containing bit-mapped commands that control the drive state machine transitions.,statusword; state machine; enable; disable; quick stop
Critically Damped,"critical damping, damping ratio 1",A system tuned to achieve the fastest response without overshoot or oscillation occurring when the damping ratio equals 1.,over damped; under damped; tuning; bandwidth
CSP,"Cyclic Synchronous Position, cyclic sync position",An EtherCAT/CANopen mode where the master sends position setpoints every cycle and the drive follows them synchronously.,CSV; CST; modes of operation; EtherCAT
CST,"Cyclic Synchronous Torque, cyclic sync torque",An EtherCAT/CANopen mode where the master sends torque/current commands every cycle for synchronous control.,CSP; CSV; modes of operation; current loop
CSV,"Cyclic Synchronous Velocity, cyclic sync velocity",An EtherCAT/CANopen mode where the master sends velocity setpoints every cycle for synchronous control.,CSP; CST; modes of operation; velocity loop
Current Limit Potentiometer,"current limit pot, CL pot",A potentiometer on analog drives that controls the output current limit.,pot; continuous current; peak current; analog drive; AxCent
current loop,"current controller, torque loop, inner loop",The innermost and fastest control loop in a servo drive that regulates motor current (torque) since torque is proportional to current.,velocity loop; position loop; PID; auto-tune; Kp; Ki
Current Mode,"current control mode, torque mode",A drive mode where only the current loop is active with velocity and position loops disabled or controlled externally.,velocity mode; voltage mode; current loop; modes of operation
