"question","manual_source","page","section","answer_summary"
"How do I set up EtherCAT communication on a FlexPro drive?","AMC_CommManual_FP_EtherCAT.pdf","11","Communication Manual / Introduction","The FlexPro EtherCAT communication manual covers the protocol setup including ESI file installation, state machine transitions, and object dictionary configuration for FE-series drives. Key addresses: 1000, 6010. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"What is the difference between SDO and PDO messages in EtherCAT?","AMC_CommManual_FP_EtherCAT.pdf","15","Communication Manual / SDO vs. PDO Messages","SDO (Service Data Object) messages are used for non-cyclic parameter read/write access, while PDO (Process Data Object) messages provide real-time cyclic data exchange for control and monitoring. Key addresses: 2065, 60C2, 1A00, 1600. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I configure PDO mapping on a FlexPro EtherCAT drive?","AMC_CommManual_FP_EtherCAT.pdf","16","Communication Manual / SDO vs. PDO Messages","RPDOs are used by the host to write data to drive objects, and TPDOs are used to read data. PDO mapping is configured through objects 1600h-1603h (RPDO) and 1A00h-1A03h (TPDO). Key addresses: 6040, 1600, 2001, 1A00. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"What are the default TxPDO and RxPDO assignments for FlexPro EtherCAT?","AMC_CommManual_FP_EtherCAT.pdf","18","Communication Manual / SDO vs. PDO Messages","Default TxPDOs include Status Word, Actual Position, Actual Velocity, and Actual Torque. Default RxPDOs include Control Word, Target Position, Target Velocity, and Target Torque. Key addresses: 6040, 1600, 2001, 1A00. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"What is the EtherCAT state machine and how does it work?","AMC_CommManual_FP_EtherCAT.pdf","13","Communication Manual / EtherCAT State Machine","The EtherCAT state machine has four states: Init, Pre-Operational, Safe-Operational, and Operational. Transitions between states are controlled by the EtherCAT master. Key addresses: 1000h, 0x0000, 0x0FFF. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I configure the Sync Manager watchdog on an EtherCAT drive?","AMC_CommManual_FP_EtherCAT.pdf","14","Communication Manual / Watchdog","The Sync Manager watchdog monitors PDO communication and the PDO watchdog monitors cyclic data timing. If communication is lost, the drive enters a safe state based on the watchdog configuration. Key addresses: 2065, 60C2. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"What ESI file do I need for a FlexPro EtherCAT drive?","AMC_CommManual_FP_EtherCAT.pdf","11","Communication Manual / Introduction","The ESI (EtherCAT Slave Information) XML file is named AMC_FP_xx.xx.xx.xx.xml. Always make a backup copy before updating. The file is needed by the EtherCAT master for device configuration. Key addresses: 1000, 6010. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"What homing methods are available on FlexPro EtherCAT drives?","AMC_CommManual_FP_EtherCAT.pdf","25","Communication Manual / Homing","Homing is configured through objects 607Ch (Home Offset), 6099h (Homing Speeds), 609Ah (Homing Acceleration), and 6098h (Homing Method). Multiple methods using limit switches and index pulses are supported. Key addresses: 205B, 6041h. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How do homing methods 11 to 14 work with the negative limit switch?","AMC_CommManual_FP_EtherCAT.pdf","30","Communication Manual / Homing","Methods 11 to 14 use a negative limit switch instead of a positive limit switch. The initial direction of travel is reversed (left instead of right) compared to methods using the positive limit switch. Key addresses: 6060h, 2039. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I change the mode of operation on an EtherCAT drive?","AMC_CommManual_FP_EtherCAT.pdf","35","Object Dictionary / Modes of Operation","Use object 6060h (Modes Of Operation) to send a mode change request and read object 6061h (Modes Of Operation Display) to confirm the active mode. Supported modes include Profile Position, Profile Velocity, Cyclic Synchronous, and Homing. Key addresses: 6086h, 6061h, 6060h, 203Ch. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
